Rank,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),Ticker,Letter,Overflow
1,Walmart,General Merchandisers,"2,100,000",611289,397475,11680,1.9,WMT,"Dear Shareholders and Associates, Thank you. Gratitude is the first, last and most important thing that I’d like to convey with this letter. To our shareholders, we appreciate your confidence in our company. Many of you have held our shares for a long time and that means the world to us. To our associates, you did such a great job navigating a challenging year. Fiscal year 2023 brought new surprises and challenges, and as I visited with many of you in our stores, clubs, distribution, and fulfillment centers, you handled everything with such a positive attitude. We’re impressed and grateful. I’ve been with our company for more than 32 years. I’ve seen us evolve from being a business that sold mostly general merchandise in the U.S., to creating the most successful store format in retail called the Supercenter, to now being the leading omnichannel retailer in the world. I’m excited about what we’ll do next. Around the world, we have great people and a powerful set of assets and capabilities. With our combination of stores, Sam’s Clubs, and eCommerce capabilities, we’re positioned to serve people however they want to shop. They can come see us in a store or club or use their mobile device to order from an increasingly broad assortment. They can save money and time with us however they choose to in that moment. Our ability to serve people how they want to be served has enabled us to add $156 billion in revenue in the last five years and $125 billion in the last three years, reflecting a compounded annual growth rate of 6 percent and 8 percent, respectively. Our results from last year included sales growth of 9 percent in our retained markets outside the U.S., and comp sales of 10.5 percent in Sam’s Club U.S. and 6.6 percent in Walmart U.S. That reflects double-digit comps at Sam’s Club U.S. for the third- consecutive year, record membership counts, and a growing popularity with Gen Z members. Globally, our eCommerce sales have reached $82 billion and now make up 14 percent of our total sales. We ended the year with inventory in good shape despite the challenges earlier in the year. I’ve been asked lately, “How do you describe the company today given how much we’ve changed?” We describe today’s Walmart as a people-led, tech-powered omnichannel retailer dedicated to helping people save money and live better. We work to bring the purpose Sam Walton described in 1992 to life for those we have the privilege to serve. We know who we are. We like who we are. And we like who we’re becoming. I wouldn’t trade what we have with anyone. Let’s break down the description of today’s Walmart. I’ll start with our people because it’s our 2.1 million associates that make the difference. They make it all happen. Our job is to create opportunities for them to fulfill their potential and to make sure every one of them feels like they belong at Walmart. We provide a ladder of opportunity. We’re constantly changing to create the right level of investments in wages and benefits, including healthcare, opportunities to save through a 401k, our Walmart stock ownership plan, and our investments in educational opportunities with our own academies and Live Better U. In the U.S., about 75 percent of salaried store, club, and supply chain managers started their careers as hourly associates. Healthcare coverage for a U.S. associate starts at $33 per pay period. We provide up to $20,000 in support for adoption or surrogacy, and a birth mom can receive up to 22 weeks of paid leave. In addition to our own internal academies, Live Better U lets associates choose from 75 programs across 25 education providers where they can develop skills in areas like business management and data analytics. We’ve seen 105,000 associates use these programs since 2018, and we estimate they’ve saved about $333 million in tuition costs. More than ever, we’re being powered by technology. Our customers and members engage through our apps and sites, and our associates have information and capabilities at their fingertips. We’re learning to put our data to work. We’ve modernized our tech stack, and we’re building and scaling new applications like a virtual fitting room and Scan & Go. We’ve built a conversational AI platform enabling voice and chat capabilities that’s being used by more than 50 million customers across many of our markets. Our associates used our Ask Sam application to answer 1.3 billion questions last year to help them do things like find an item, check a modular, or see who is working in a particular area that day. When we bring our people and our tech together to serve customers and members, we create a true omnichannel experience. There isn’t another retailer with over 10,500 stores, Sam’s Clubs, and a scaled eCommerce business. For the first time I know of, our reputation for convenience has risen to nearly the same level as our strong reputation for price. This is an exciting development. During a recent investor conference, we shared our focus on growth as well as improved operating margin and return on investment. We can deliver value with everyday low prices for customers and members and improve our profitability and returns through productivity improvements and a new mix of businesses, including a growing marketplace and advertising. We’re dedicated to helping people save money and live better. Everyone understands what we mean when we say save money, but what does it mean to help people live better? This part of our strategy includes saving people time, helping them improve their health, providing tools to save on financial transactions, and strengthening their communities, and the planet. We have an aspiration to become a regenerative company. Being regenerative means restoring, renewing, and replenishing. Based on our latest estimates, we are now diverting 78 percent of our waste from landfills, and 46 percent of our energy is provided by renewables. And we’re now three-quarters of the way toward our Project Gigaton goal to reduce or avoid one billion metric tons of greenhouse gas emissions by 2030. Incredible. A huge thank you to our merchants and our participating suppliers! It’s an exciting time to be at Walmart. We’re at an important strategic and financial inflection point. Our strategy is simple. It’s to bring our purpose to life. The business we’re building positions us to earn trust and build an even stronger relationship with our customers and members. Thank you for the role you play. With Gratitude,",
2,Amazon.com,Internet Services and Retailing,"1,541,000",513983,1058440,-2722,-0.5,AMZN,"Dear shareholders: As I sit down to write my second annual shareholder letter as CEO, I find myself optimistic and energized bywhatlies aheadforAmazon.Despite2022beingoneof thehardermacroeconomicyearsinrecentmemory, and with some of our own operating challenges to boot, we still found a way to grow demand (on top of the unprecedented growth we experienced in the first half of the pandemic). We innovated in our largest businesses to meaningfully improve customer experience short and long term. And, we made important adjustments in our investment decisions and the way in which we’ll invent moving forward, while still preserving the long-term investments that we believe can change the future of Amazon for customers, shareholders, and employees. While there were an unusual number of simultaneous challenges this past year, the reality is that if you operate in large, dynamic, global market segments with many capable and well-funded competitors (the conditions in which Amazon operates all of its businesses), conditions rarely stay stagnant for long. In the 25years I’ve been at Amazon, there has been constant change, much of whichwe’ve initiated ourselves. WhenIjoined Amazon in 1997, we had booked $15M in revenue in 1996, were a books-only retailer, did not haveathird-party marketplace, andonlyshippedtoaddressesintheUS.Today,Amazonsellsnearlyevery physical and digital retail item you can imagine, with a vibrant third-party seller ecosystem that accounts for 60% of our unit sales, and reaches customers in virtually every country around the world. Similarly, building a business around a set of technology infrastructure services in the cloud was not obvious in 2003 when westarted pursuing AWS, and still wasn’t when we launched our first services in 2006. Having virtually every book at your fingertips in 60 seconds, and then being able to store and retrieve them on a lightweight digital reader was not“athing”yetwhenwelaunchedKindlein2007,norwasavoice-drivenpersonalassistant like Alexa (launched in 2014) that you could use to access entertainment, control your smart home, shop, and retrieve all sorts of information. There have also been times when macroeconomic conditions or operating inefficiencies have presented us with new challenges. For instance, in the 2001 dot-com crash, we had to secure letters of credit to buy inventory for the holidays, streamline costs to deliver better profitability for the business, yet still prioritized the long-term customer experience and business we were trying to build (if you remember, we actually lowered prices in most of our categories during that tenuous 2001 period). You saw this sort of balancing again in 2008-2009 as we endured the recession provoked by the mortgage-backed securities financial crisis. Wetook several actions to manage the cost structure and efficiency of our Stores business, but we also balanced this streamlining with investment in customer experiences that we believed could be substantial future businesses with strong returns for shareholders. In 2008, AWS was still a fairly small, fledgling business. Weknewwewere onto something, but it still required substantial capital investment. There were voices inside and outside of the company questioning why Amazon (known mostly as an online retailer then) would be investing so much in cloud computing. But, we knew we were inventing something special that could create a lot of value for customers and Amazon in the future. We had a head start on potential competitors; and if anything, we wanted to accelerate our pace of innovation. We made the long-term decision to continue investing in AWS. Fifteen years later, AWS is now an $85B annual revenue run rate business, with strong profitability, that has transformed how customers from start-ups to multinational companies to public sector organizations manage their technology infrastructure. Amazon would be a different company if we’d slowed investment in AWS during that 2008-2009 period. Change is always around the corner. Sometimes, you proactively invite it in, and sometimes it just comes a-knocking. But, when you see it’s coming, you have to embrace it. And, the companies that do this well over a long period of time usually succeed. I’m optimistic about our future prospects because I like the way our team is responding to the changes we see in front of us. Over the last several months, we took a deep look across the company, business by business, invention by invention, and asked ourselves whether we had conviction about each initiative’s long-term potential to drive enough revenue, operating income, free cash flow, and return on invested capital. In some cases, it led to us shuttering certain businesses. For instance, we stopped pursuing physical store concepts like our Bookstores and 4 Star stores, closed our Amazon Fabric and Amazon Care efforts, and moved on from some newer devices where we didn’t see a path to meaningful returns. In other cases, we looked at some programs that weren’t producing the returns we’d hoped (e.g. free shipping for all online grocery orders over $35) and amended them. We also reprioritized where to spend our resources, which ultimately led to the hard decision to eliminate 27,000 corporate roles. There are a number of other changes that we’ve made over the last several months to streamline our overall costs, and like most leadership teams, we’ll continue to evaluate what we’re seeing in our business and proceed adaptively. Wealso looked hard at how we were working together as a team and asked our corporate employees to come back to the office at least three days a week, beginning in May. During the pandemic, our employees rallied to get work done from home and did everything possible to keep up with the unexpected circumstances that presented themselves. It was impressive and I’m proud of the way our collective team came together to overcome unprecedented challenges for our customers, communities, and business. But, we don’t think it’s the best long-term approach. We’ve become convinced that collaborating and inventing is easier and more effective when we’re working together and learning from one another in person. The energy and riffing on oneanother’s ideas happenmorefreely,andmanyof thebestAmazoninventionshavehadtheirbreakthrough moments from people staying behind after a meeting and working through ideas on a whiteboard, or continuing the conversation on the walk back from a meeting, or just popping by a teammate’s office later that day with another thought. Invention is often messy. It wanders and meanders and marinates. Serendipitous interactions help it, and there are more of those in-person than virtually. It’s also significantly easier to learn, model, practice, and strengthen our culture when we’re in the office together most of the time and surrounded by our colleagues. Innovation and our unique culture have been incredibly important in our first 29 years as a company, and I expect it will be comparably so in the next 29. Acritical challenge we’ve continued to tackle is the rising cost to serve in our Stores fulfillment network (i.e. the cost to get a product from Amazon to a customer)—and we’ve made several changes that we believe will meaningfully improve our fulfillment costs and speed of delivery. During the early part of the pandemic, with many physical stores shut down, our consumer business grew at anextraordinary clip, with annual revenue increasing from $245B in 2019to$434Bin2022.Thismeantthat we had to double the fulfillment center footprint that we’d built over the prior 25 years and substantially accelerate building a last-mile transportation network that’s now the size of UPS (along with a new sortation center network to assist with efficiency and speed when items needed to traverse long distances)—all in the span of about twoyears. This was no easy feat, and hundreds of thousands of Amazonians worked very hard to make this happen. However, not surprisingly, with that rate and scale of change, there was a lot of optimization needed to yield the intended productivity. Over the last several months, we’ve scrutinized every process path in our fulfillment centers and transportation network and redesigned scores of processes and mechanisms, resulting in steady productivity gains and cost reductions over the last few quarters. There’s more work to do, but we’re pleased with our trajectory and the meaningful upside in front of us. Wealso took this occasion to make larger structural changes that set us up better to deliver lower costs and faster speed for many years to come. A good example was reevaluating how our US fulfillment network was organized. Until recently, Amazon operated one national US fulfillment network that distributed inventory from fulfillment centers spread across the entire country. If a local fulfillment center didn’t have the product a customer ordered, we’d end up shipping it from other parts of the country, costing us more and increasing delivery times. This challenge became more pronounced as our fulfillment network expanded to hundreds of additional nodes over the last few years, distributing inventory across more locations and increasing the complexity of connecting the fulfillment center and delivery station nodes efficiently. Last year, we started rearchitecting our inventory placement strategy and leveraging our larger fulfillment center footprint to move from a national fulfillment network to a regionalized network model. We made significant internal changes (e.g. placement and logistics software, processes, physical operations) to create eight interconnected regions in smaller geographic areas. Each of these regions has broad, relevant selection to operate in a largely self sufficient way, while still being able to ship nationally when necessary. Some of the most meaningful and hard work came from optimizing the connections between this large amount of infrastructure. We also continue to improveouradvancedmachinelearningalgorithmstobetterpredict whatcustomersinvariousparts of the country will need so that we have the right inventory in the right regions at the right time. We’ve recently completed this regional roll out and like the early results. Shorter travel distances mean lower cost to serve, less impact on the environment, and customers getting their orders faster. On the latter, we’re excited about seeing more next day and same-day deliveries, and we’re on track to have our fastest Prime delivery speeds ever in 2023. Overall, we remain confident about our plans to lower costs, reduce delivery times, and build a meaningfully larger retail business with healthy operating margins. AWShasan$85Bannualized revenue run rate, is still early in its adoption curve, but at a juncture where it’s critical to stay focused on what matters most to customers over the long-haul. Despite growing 29% year-over year (“YoY”) in 2022 on a $62B revenue base, AWS faces short-term headwinds right now as companies are being more cautious in spending given the challenging, current macroeconomic conditions. While some companies might obsess over howtheycouldextract as muchmoneyfromcustomersaspossibleinthese tight times, it’s neither what customers want nor best for customers in the long term, so we’re taking a different tack. One of the many advantages of AWS and cloud computing is that when your business grows, you can seamlessly scale up; and conversely, if your business contracts, you can choose to give us back that capacity and cease paying for it. This elasticity is unique to the cloud, and doesn’t exist when you’ve already made expensive capital investments in your own on-premises datacenters, servers, and networking gear. In AWS, like all our businesses, we’re not trying to optimize for any one quarter or year. We’re trying to build customer relationships (and a business) that outlast all of us; and as a result, our AWS sales and support teams are spending much of their time helping customers optimize their AWS spend so they can better weather this uncertain economy. Many of these AWS customers tell us that they’re not cost-cutting as much as cost optimizing so they can take their resources and apply them to emerging and inventive new customer experiences they’re planning. Customers have appreciated this customer-focused, long-term approach, and we think it’ll bode well for both customers and AWS. While these short-term headwinds soften our growth rate, we like a lot of the fundamentals that we’re seeing in AWS. Our new customer pipeline is robust, as are our active migrations. Many companies use discontinuous periods like this to step back and determine what they strategically want to change, and we find an increasing number of enterprises opting out of managing their own infrastructure, and preferring to move to AWStoenjoy the agility, innovation, cost-efficiency, and security benefits. And most importantly for customers, AWScontinuestodelivernewcapabilitiesrapidly(over3,300newfeaturesandserviceslaunched in 2022), and invest in long-term inventions that change what’s possible. Chip development is a good example. In last year’s letter, I mentioned the investment we were making in our general-purpose CPU processors named Graviton. Graviton2-based compute instances deliver up to 40% better price-performance than thecomparablelatestgenerationx86-basedinstances; andin2022,wedelivered our Graviton3 chips, providing 25% better performance than the Graviton2 processors. Further, as machine learning adoption has continued to accelerate, customers have yearned for lower-cost GPUs (the chips most commonly used for machine learning). AWS started investing years ago in these specialized chips for machine learning training and inference (inferences are the predictions or answers that a machine learning model provides). We delivered our first training chip in 2022 (“Trainium”); and for the most common machine learning models, Trainium-based instances are up to 140% faster than GPU-based instances at up to 70%lower cost. Most companies are still in the training stage, but as they develop models that graduate to large-scale production, they’ll find that most of the cost is in inference because models are trained periodically whereas inferences are happening all the time as their associated application is being exercised. Welaunchedourfirstinference chips (“Inferentia”) in 2019, and they have saved companies like Amazonover a hundred million dollars in capital expense already. Our Inferentia2 chip, which just launched, offers up to four times higher throughput and ten times lower latency than our first Inferentia processor. With the enormous upcoming growth in machine learning, customers will be able to get a lot more done with AWS’s training and inference chips at a significantly lower cost. We’re not close to being done innovating here, and this long-term investment should prove fruitful for both customers and AWS. AWS is still in the early stages of its evolution, and has a chance for unusual growth in the next decade. Similarly high potential, Amazon’s Advertising business is uniquely effective for brands, which is part of why it continues to grow at a brisk clip. Akin to physical retailers’ advertising businesses selling shelf space, end caps, and placement in their circulars, our sponsored products and brands offerings have been an integral part of the Amazon shopping experience for more than a decade. However, unlike physical retailers, Amazon can tailor these sponsored products to be relevant to what customers are searching for given what we know about shopping behaviors and our very deep investment in machine learning algorithms. This leads to advertising that’s more useful for customers; and as a result, performs better for brands. This is part of why our Advertising revenue has continued to grow rapidly (23% YoY in Q4 2022, 25% YoY overall for 2022 on a $31B revenue base), even as most large advertising-focused businesses’ growth have slowed over the last several quarters. Westrive to be the best place for advertisers to build their brands. We have near and long-term opportunities that will help us achieve that mission. We’re continuing to make large investments in machine learning to keep honing our advertising selection algorithms. For the past couple of years, we’ve invested in building comprehensive, flexible, and durable planning and measurement solutions, giving marketers greater insight into advertising effectiveness. An example is Amazon Marketing Cloud (“AMC”). AMC is a “clean room” (i.e. secure digital environment) in which advertisers can run custom audience and campaign analytics across a range of first and third-party inputs, in a privacy-safe manner, to generate advertising and business insights to inform their broader marketing and sales strategies. The Advertising and AWS teams have collaborated to enable companies to store their data in AWS, operate securely in AMC with Amazon and other third-party data sources, perform analytics in AWS, and have the option to activate advertising on Amazon or third-party publishers through the Amazon Demand-Side Platform. Customers really like this concerted capability. We also see future opportunity to thoughtfully integrate advertising into our video, live sports, audio, and grocery products. We’ll continue to work hard to help brands uniquely engage with the right audience, and grow this part of our business. While it’s tempting in turbulent times only to focus on your existing large businesses, to build a sustainable, long-lasting, growing company that helps customers across a large number of dimensions, you can’t stop inventing and working on long-term customer experiences that can meaningfully impact customers and your company. Whenwelook at new investment opportunities, we ask ourselves a few questions: ◦ If wewere successful, could it be big and have a reasonable return on invested capital? ◦ Is the opportunity being well-served today? ◦ Dowehaveadifferentiated approach? ◦ And,dowehave competence in that area? And if not, can we acquire it quickly? If we like the answers to those questions, then we’ll invest. This process has led to some expansions that seem straightforward, and others that some folks might not have initially guessed. The earliest example is when we chose to expand from just selling Books, to adding categories like Music, Video, Electronics, and Toys. Back then (1998-1999), it wasn’t universally applauded, but in retrospect, it seems fairly obvious. The same could be said for our international Stores expansion. In 2022, our international consumer segment drove $118B of revenue. In our larger, established international consumer businesses, we’re big enough to be impacted by the slowing macroeconomic conditions; however, the growth in 2019-2021 on a large base was remarkable—30% compound annual growth rate (“CAGR”) in the UK, 26% in Germany, and 21% in Japan (excluding the impact of FX). Over the past several years, we’ve invested in new international geographies, including India, Brazil, Mexico, Australia, various European countries, the Middle East, and parts of Africa. These new countries take a certain amount of fixed investment to get started and to scale, but we like the trajectory they’re on, and their growth patterns resemble what we’ve seen in North America and our established international geographies. Emerging countries sometimes lack some of the infrastructure and services that our business relies on (e.g. payment methods, transportation services, and internet/ telecom infrastructure). To solve these challenges, we continue to work with various partners to deliver solutions for customers. Ultimately, we believe that this investment in serving a broader geographical footprint will allow us to help more customers across the world, as well as build a larger free cash flow-generating consumer business. Beyond geographic expansion, we’ve been working to expand our customer offerings across some large, unique product retail market segments. Grocery is an $800B market segment in the US alone, with the average household shopping three to four times per week. Amazon has built a somewhat unusual, but significant grocery business over nearly 20 years. Similar to how other mass merchants entered the grocery space in the 1980s, we began by adding products typically found in supermarket aisles that don’t require temperature control such as paper products, canned and boxed food, candy and snacks, pet care, health and personal care, and beauty. However, we offer more than three million items compared to a typical supermarket’s 30K for the same categories. To date, we’ve also focused on larger pack sizes, given the current cost to serve online delivery. While we’re pleased with the size and growth of our grocery business, we aspire to serve more of our customers’grocery needs than wedotoday.Todoso,weneedabroaderphysicalstorefootprintgiventhat most of the grocery shopping still happens in physical venues. Whole Foods Market pioneered the natural andorganicspecialty grocerystore concept40yearsago.Today,it’salargeandgrowingbusinessthatcontinues to raise the bar for healthy and sustainable food. Over the past year, we’ve continued to invest in the business while also making changes to drive better profitability. Whole Foods is on an encouraging path, but to have a larger impact on physical grocery, we must find a mass grocery format that we believe is worth expanding broadly. Amazon Fresh is the brand we’ve been experimenting with for a few years, and we’re working hard to identify and build the right mass grocery format for Amazon scale. Grocery is a big growth opportunity for Amazon. Amazon Business is another example of an investment where our ecommerce and logistics capabilities position us well to pursue this large market segment. Amazon Business allows businesses, municipalities, and organizations to procure products like office supplies and other bulk items easily and at great savings. While someareas of the economyhavestruggled over the past few years, Amazon Business has thrived. Why? Because the team has translated what it means to deliver selection, value, and convenience into a business procurement setting, constantly listening to and learning from customers, and innovating on their behalf. Some people have never heard of Amazon Business, but, our business customers love it. Amazon Business launched in 2015 and today drives roughly $35B in annualized gross sales. More than six million active customers, including 96 of the global Fortune 100 companies, are enjoying Amazon Business’ one-stop shopping, real-time analytics, and broad selection on hundreds of millions of business supplies. We believe that we’ve only scratched the surface of what’s possible to date, and plan to keep building the features our business customers tell us they need and want. While many brands and merchants successfully sell their products on Amazon’s marketplace, there are also a large number of brands and sellers who have launched their own direct-to-consumer websites. One of the challenges for these merchants is driving conversion from views to purchases. We invented Buy with Prime to help with this challenge. Buy with Prime allows third-party brands and sellers to offer their products on their ownwebsitestoourlargeAmazonPrimemembership,andofferthosecustomersfast,freePrimeshipping and seamless checkout with their Amazon account. Buy with Prime provides merchants several additional benefits, including Amazon handling the product storage, picking, packing, delivery, payment, and any returns, all through Amazon Pay and Fulfillment by Amazon. Buy with Prime has recently been made available to all US merchants; and so far, Buy with Prime has increased shopper conversion on third-party shopping sites by 25% on average. Merchants are excited about converting more sales and fulfilling these shipments more easily, Prime members love that they can use their Prime benefits on more destinations, and Buy with Prime allows us to improve the shopping experience across more of the web. Expanding internationally, pursuing large retail market segments that are still nascent for Amazon, and using our unique assets to help merchants sell more effectively on their own websites are somewhat natural extensions for us. There are also a few investments we’re making that are further from our core businesses, but where we see unique opportunity. In 2003, AWS would have been a classic example. In 2023, Amazon Healthcare and Kuiper are potential analogues. Ourinitial efforts in Healthcare began with pharmacy, which felt less like a major departure from ecommerce. For years, Amazon customers had asked us when we’d offer them an online pharmacy as their frustrations mountedwithcurrentproviders. Launched in 2020, AmazonPharmacyisafull-service, online pharmacythat offers transparent pricing, easy refills, and savings for Prime members. The business is growing quickly, and continues to innovate. An example is Amazon Pharmacy’s recent launch of RxPass, which for a $5 per month flat fee, enables Prime members to get as many of the eligible prescription medications as they need for dozens of common conditions, like high blood pressure, acid reflux, and anxiety. However, our customers have continued to express a strong desire for Amazon to provide a better alternative to the inefficient and unsatisfying broader healthcare experience. We decided to start with primary care as it’s a prevalent first stop in the patient journey. We evaluated and studied the existing landscape extensively, including some early Amazon experiments like Amazon Care. During this process, we identified One Medical’s patient-focused experience as anexcellent foundation uponwhichtobuildourfuturebusiness;andinJuly2022,weannounced our acquisition of One Medical. There are several elements that customers love about One Medical. It has a fantastic digital app that makes it easy for patients to discuss issues with a medical practitioner via chat or video conference. If a physical visit is required, One Medical has offices in cities across the US where patients can book same or next day appointments. One Medical has relationships with specialty physicians in each of its cities and works closely with local hospital systems to make seeing specialists easy, so One Medical members can quickly access these resources when needed. Going forward, we strongly believe that One Medical and Amazon will continue to innovate together to change what primary care will look like for customers. Kuiper is another example of Amazon innovating for customers over the long term in an area where there’s high customerneed.OurvisionforKuiperistocreatealow-Earthorbitsatellite system to deliver high-quality broadband internet service to places around the world that don’t currently have it. There are hundreds of millions of households and businesses who don’t have reliable access to the internet. Imagine what they’ll be able to do with reliable connectivity, from people taking online education courses, using financial services, starting their own businesses, doing their shopping, enjoying entertainment, to businesses and governments improving their coverage, efficiency, and operations. Kuiper will deliver not only accessibility, but affordability. Our teams have developed low-cost antennas (i.e. customer terminals) that will lower the barriers to access. We recently unveiled the new terminals that will communicate with the satellites passing overhead, andweexpecttobeabletoproduceourstandardresidentialversionforlessthan$400each.They’re small: 11 inches square, 1 inch thick, and weigh less than 5 pounds without their mounting bracket, but they deliver speeds up to 400 megabits per second. Andthey’re poweredbyAmazon-designedbasebandchips. We’re preparing to launch two prototype satellites to test the entire end-to-end communications network this year, and plan to be in beta with commercial customers in 2024. The customer reaction to what we’ve shared thus far about Kuiper has been very positive, and we believe Kuiper represents a very large potential opportunity for Amazon. It also shares several similarities to AWS in that it’s capital intensive at the start, but has a large prospective consumer, enterprise, and government customer base, significant revenue and operating profit potential, and relatively few companies with the technical and inventive aptitude, as well as the investment hypothesis to go after it. One final investment area that I’ll mention, that’s core to setting Amazon up to invent in every area of our business for many decades to come, and where we’re investing heavily is Large Language Models (“LLMs”) and Generative AI. Machine learning has been a technology with high promise for several decades, but it’s only been the last five to ten years that it’s started to be used more pervasively by companies. This shift was driven byseveral factors, including access to higher volumes of computecapacity at lowerprices thanwasever available. Amazon has been using machine learning extensively for 25 years, employing it in everything from personalized ecommerce recommendations, to fulfillment center pick paths, to drones for Prime Air, to Alexa, to the many machine learning services AWS offers (where AWS has the broadest machine learning functionality and customer base of any cloud provider). More recently, a newer form of machine learning, called Generative AI, has burst onto the scene and promises to significantly accelerate machine learning adoption. Generative AI is based on very Large Language Models (trained on up to hundreds of billions of parameters, and growing), across expansive datasets, and has radically general and broad recall and learning capabilities. We have been working on our own LLMs for a while now, believe it will transform and improve virtually every customer experience, and will continue to invest substantially in these models across all of our consumer, seller, brand, and creator experiences. Additionally, as we’ve done for years in AWS, we’re democratizing this technology so companies of all sizes can leverage Generative AI. AWS is offering the most price-performant machine learning chips in Trainium and Inferentia so small and large companies can afford to train and run their LLMs in production. We enable companies to choose from various LLMs and build applications with all of the AWS security, privacy and other features that customers are accustomedtousing.And,we’redelivering applications like AWS’s CodeWhisperer, which revolutionizes developer productivity by generating code suggestions in real time. I could write an entire letter on LLMs and Generative AI as I think they will be that transformative, but I’ll leave that for a future letter. Let’s just say that LLMs and Generative AI are going to be a big deal for customers, our shareholders, and Amazon. So, in closing, I’m optimistic that we’ll emerge from this challenging macroeconomic time in a stronger position than when we entered it. There are several reasons for it and I’ve mentioned many of them above. But, there are two relatively simple statistics that underline our immense future opportunity. While we have a consumer business that’s $434B in 2022, the vast majority of total market segment share in global retail still resides in physical stores (roughly 80%). And, it’s a similar story for Global IT spending, where we have AWSrevenue of $80B in 2022, with about 90% of Global IT spending still on-premises and yet to migrate to thecloud.Astheseequationssteadilyflip—aswe’realreadyseeinghappen—webelieveourleadingcustomer experiences, relentless invention, customer focus, and hard work will result in significant growth in the coming years. And, of course, this doesn’t include the other businesses and experiences we’re pursuing at Amazon, all of which are still in their early days. I strongly believe that our best days are in front of us, and I look forward to working with my teammates at Amazon to make it so. Sincerely",
3,Exxon Mobil,Petroleum Refining,"62,000",413680,446424,55740,13.5,XOM,"The world needs reliable and affordable energy, as recent events have once again confirmed. Recognizing the vital role we play in this led us – in the face of deep economic uncertainty in 2020 and 2021 – to lean in when many retreated. We made the investments necessary to help meet the growth in global demand we knew would follow the COVID-related slowdown. As a result, we were positioned for success across all of our businesses in 2022. At the same time, we continued to focus on ways to meaningfully reduce our own and others’ greenhouse gas emissions. By evolving our operating model and consolidating into three core businesses – Upstream, Product Solutions, and Low Carbon Solutions – we leveraged our advantages of technology, scale, integration, and world-class employees to improve effectiveness, efficiency, and earnings resiliency. The positive impact of these changes is clearly seen in our results: Our North America refineries collectively delivered their best-ever annual throughput;8 we achieved record production in our Permian operations; and we significantly increased volumes in Guyana to help ease substantial shortages. In addition, we increased earnings to $56 billion, well ahead of our peers.1 We also increased planned investments in lower-emission initiatives to approximately $17 billion from 2022 through 2027 and made great strides to lower the emissions intensity of our operated assets. Low Carbon Solutions signed a first-of-its-kind agreement to capture, transport, and permanently store up to 2 million metric tons of third-party CO2 per year in Louisiana beginning in 2025. This would be the equivalent of replacing approximately 700,000 gasoline-powered cars with electric vehicles.9 This landmark event signaled to other potential customers that we are ready and uniquely able to help them meet their emission-reduction goals. In addition, in Baytown, Texas, we started up one of North America’s largest advanced recycling facilities, capable of processing more than 80 million pounds of plastic waste per year. our position as the industry leader in total shareholder returns,4 increasing the annual dividend for the 40th consecutive year, and returning approximately $30 billion to shareholders, equally balanced between dividends and share repurchases. The strength of our business and financial position have enabled up to $35 billion of cumulative share repurchases over the next two years. While our full-year 2022 results clearly benefited from a buoyant market, our strategy to invest counter-cyclically, combined with the hard work and commitment of our people, drove financial performance well above that of our competitors. We can help meet the world’s growing need for stable supplies of energy and essential products while also reducing our own and others’ emissions in support of a lower-emission future. For us, this is not an “either/ or” proposition. Rather, it’s an “and” equation. We can increase supply and reduce greenhouse gas emissions strengthening energy security and advancing a thoughtful energy transition. Thank you for investing in ExxonMobil and for your ongoing support. Our ability to significantly improve our cost structure and profitably grow our businesses helped improve earnings resiliency and fortify our balance sheet while increasing flexibility to navigate future down cycles. And through it all, we shared our success with shareholders, reclaiming",
4,Apple,"Computers, Office Equipment","164,000",394328,2609039,99803,25.3,AAPL,"To our shareholders,
Over the past year, teams across Apple came together in service of our timeless mission: creating technology that empowers people and enriches their lives. And the result was another record year — one defined by innovation, and by the bedrock values that have long defined our company.
There is a lot more to say about Apple’s year, and in that spirit, I’d like to invite you to join our 2023 Annual Meeting of Shareholders on Friday, March 10th. I hope you’ll join us.
The global challenges with us all today — from inflation, to war in Eastern Europe, to the enduring impacts of the pandemic — make this a time for deliberate and thoughtful action. But it is not a time to retreat from the future. We’ve always run Apple for the long-term, and that means continuing to invest in innovation, in people, and in the positive difference we can make in the world.
Today, we have the strongest lineup of products and services we’ve ever had, and our technology has never shown up for our users in more ways. And our latest innovations are helping so many of us harness our creativity, connect with loved ones, find entertainment and joy, and live safer, healthier lives.
Across this work, our values remain a driving force behind our innovations. And I’m so inspired by people across Apple working to make our technology even more accessible, more private, and more empowering for all who use it. That kind of teamwork is made possible by people with a diversity of ideas and backgrounds. And this year, we’ve continued to make important progress improving representation within Apple — while fostering a welcoming, inclusive culture where everyone belongs.
Our teams are also pressing forward in the fight against climate change. Our corporate operations have been carbon neutral for three years, and today, we’re working to become carbon neutral for our global supply chain and product use by 2030. We continue to bring new renewable energy online, protect forests that sequester carbon, and innovate to use more recycled and sustainable materials across our products.
Progress like this makes me profoundly confident about the future of Apple, and technology’s potential to solve problems and improve lives. And I remain grateful to everyone at Apple for the work they do each and every day — and to our shareholders for their trust and investment in our company.",
