Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
1,WMT,Walmart,General Merchandisers,"2,100,000","$611,289","$397,475","$11,680",1.9
2,AMZN,Amazon.com,Internet Services and Retailing,"1,541,000","$513,983","$1,058,440","-$2,722",-0.5
3,XOM,Exxon Mobil,Petroleum Refining,"62,000","$413,680","$446,424","$55,740",13.5
4,AAPL,Apple,"Computers, Office Equipment","164,000","$394,328","$2,609,039","$99,803",25.3
5,UNH,UnitedHealth Group,Health Care: Insurance and Managed Care,"400,000","$324,162","$440,854","$20,120",6.2
6,CVS,CVS Health,Health Care: Pharmacy and Other Services,"259,500","$322,467","$95,422","$4,149",1.3
7,BRKA,Berkshire Hathaway,Insurance: Property and Casualty (Stock),"383,000","$302,089","$675,657","-$22,819",-7.6
8,GOOGL,Alphabet,Internet Services and Retailing,"190,234","$282,836","$1,330,201","$59,972",21.2
9,MCK,McKesson,Wholesalers: Health Care,"66,500","$263,966","$48,757","$1,114",0.4
10,CVX,Chevron,Petroleum Refining,"43,846","$246,252","$311,093","$35,465",14.4
11,ABC,AmerisourceBergen,Wholesalers: Health Care,"41,500","$238,587","$32,384","$1,699",0.7
12,COST,Costco Wholesale,General Merchandisers,"304,000","$226,954","$220,354","$5,844",2.6
13,MSFT,Microsoft,Computer Software,"221,000","$198,270","$2,146,049","$72,738",36.7
14,CAH,Cardinal Health,Wholesalers: Health Care,"46,035","$181,364","$19,452",-$933,-0.5
15,CI,Cigna Group,Health Care: Pharmacy and Other Services,"70,231","$180,516","$75,901","$6,668",3.7
16,MPC,Marathon Petroleum,Petroleum Refining,"17,800","$180,012","$59,544","$14,516",8.1
17,PSX,Phillips 66,Petroleum Refining,"13,000","$175,702","$46,727","$11,024",6.3
18,VLO,Valero Energy,Petroleum Refining,"9,743","$171,189","$51,351","$11,528",6.7
19,F,Ford Motor,Motor Vehicles & Parts,"173,000","$158,057","$50,400","-$1,981",-1.3
20,HD,Home Depot,Specialty Retailers: Other,"471,600","$157,403","$299,534","$17,105",10.9
21,GM,General Motors,Motor Vehicles & Parts,"167,000","$156,735","$51,155","$9,934",6.3
22,ELV,Elevance Health,Health Care: Insurance and Managed Care,"102,300","$156,595","$109,098","$6,025",3.8
23,JPM,JPMorgan Chase,Commercial Banks,"293,723","$154,792","$383,549","$37,676",24.3
24,KR,Kroger,Food and Drug Stores,"430,000","$148,258","$35,421","$2,244",1.5
25,CNC,Centene,Health Care: Insurance and Managed Care,"74,300","$144,547","$34,810","$1,202",0.8
26,VZ,Verizon Communications,Telecommunications,"117,100","$136,835","$163,333","$21,256",15.5
27,WBA,Walgreens Boots Alliance,Food and Drug Stores,"262,500","$132,703","$29,836","$4,337",3.3
28,FNMA,Fannie Mae,Diversified Financials,"8,000","$121,596",$475,"$12,923",10.6
29,CMCSA,Comcast,Telecommunications,"186,000","$121,427","$159,831","$5,370",4.4
30,T,AT&T,Telecommunications,"160,700","$120,741","$137,250","-$8,524",-7.1
31,META,Meta Platforms,Internet Services and Retailing,"86,482","$116,609","$549,484","$23,200",19.9
32,BAC,Bank of America,Commercial Banks,"216,823","$115,053","$228,780","$27,528",23.9
33,TGT,Target,General Merchandisers,"440,000","$109,120","$76,250","$2,780",2.5
34,DELL,Dell Technologies,"Computers, Office Equipment","133,000","$102,301","$29,402","$2,442",2.4
35,ADM,Archer Daniels Midland,Food Production,"41,181","$101,556","$43,530","$4,340",4.3
36,C,Citigroup,Commercial Banks,"238,104","$101,078","$91,270","$14,845",14.7
37,UPS,United Parcel Service,"Mail, Package and Freight Delivery","404,700","$100,338","$166,189","$11,548",11.5
38,PFE,Pfizer,Pharmaceuticals,"83,000","$100,330","$230,292","$31,372",31.3
39,LOW,Lowe's,Specialty Retailers: Other,"244,500","$97,059","$119,253","$6,437",6.6
40,JNJ,Johnson & Johnson,Pharmaceuticals,"152,700","$94,943","$483,576","$17,941",18.9
41,FDX,FedEx,"Mail, Package and Freight Delivery","464,400","$93,512","$57,431","$3,826",4.1
42,HUM,Humana,Health Care: Insurance and Managed Care,"67,100","$92,870","$60,719","$2,806",3.0
43,ET,Energy Transfer,Pipelines,"12,565","$89,876","$38,590","$4,756",5.3
45,FMCC,Freddie Mac,Diversified Financials,"7,819","$86,717",$266,"$9,327",10.8
46,PEP,PepsiCo,Food Consumer Products,"315,000","$86,392","$251,085","$8,910",10.3
47,WFC,Wells Fargo,Commercial Banks,"238,000","$82,859","$141,188","$13,182",15.9
48,DIS,Walt Disney,Entertainment,"195,800","$82,722","$182,920","$3,145",3.8
49,COP,ConocoPhillips,"Mining, Crude-Oil Production","9,500","$82,156","$120,777","$18,680",22.7
50,TSLA,Tesla,Motor Vehicles & Parts,"127,855","$81,462","$656,425","$12,556",15.4
51,PG,Procter & Gamble,Household and Personal Products,"106,000","$80,187","$350,781","$14,742",18.4
52,GE,General Electric,Industrial Machinery,"172,000","$76,555","$104,231",$225,0.3
53,ACI,Albertsons,Food and Drug Stores,"195,750","$71,887","$11,132","$1,620",2.3
54,MET,MetLife,"Insurance: Life, Health (Stock)","45,000","$69,898","$44,867","$2,539",3.6
55,GS,Goldman Sachs Group,Commercial Banks,"48,500","$68,711","$113,964","$11,261",16.4
56,SYY,Sysco,Wholesalers: Food and Grocery,"70,510","$68,636","$39,202","$1,359",2.0
57,RTX,Raytheon Technologies,Aerospace & Defense,"182,000","$67,074","$143,292","$5,197",7.7
58,BA,Boeing,Aerospace & Defense,"156,000","$66,608","$127,283","-$4,935",-7.4
59,SNEX,StoneX Group,Diversified Financials,"3,615","$66,036","$2,138",$207,0.3
60,LMT,Lockheed Martin,Aerospace & Defense,"116,000","$65,984","$120,319","$5,732",8.7
61,MS,Morgan Stanley,Commercial Banks,"82,427","$65,936","$147,674","$11,029",16.7
62,INTC,Intel,Semiconductors and Other Electronic Components,"131,900","$63,054","$136,268","$8,014",12.7
63,HPQ,HP,"Computers, Office Equipment","58,000","$62,983","$28,919","$3,203",5.1
64,SNX,TD Synnex,Wholesalers: Electronics and Office Equipment,"28,500","$62,344","$9,061",$651,1.0
65,IBM,International Business Machines,Information Technology Services,"303,100","$60,530","$118,913","$1,639",2.7
66,HCA,HCA Healthcare,Health Care: Medical Facilities,"250,500","$60,233","$73,107","$5,643",9.4
67,PRU,Prudential Financial,"Insurance: Life, Health (Stock)","39,583","$60,050","$30,363","-$1,438",-2.4
68,CAT,Caterpillar,Construction and Farm Machinery,"109,100","$59,427","$118,161","$6,705",11.3
69,MRK,Merck,Pharmaceuticals,"68,000","$59,283","$270,081","$14,519",24.5
70,INT,World Fuel Services,Energy,"5,214","$59,043","$1,585",$114,0.2
72,EPD,Enterprise Products Partners,Pipelines,"7,300","$58,186","$56,224","$5,490",9.4
73,ABBV,AbbVie,Pharmaceuticals,"50,000","$58,054","$281,151","$11,836",20.4
74,PAGP,Plains GP Holdings,Pipelines,"4,100","$57,342","$2,551",$168,0.3
